edad,ingresos_mensuales,antiguedad_laboral_anios,deuda_total,porcentaje_uso_credito,morosidad_12m,historial_crediticio,tipo_empleo,region,tiene_tarjeta,solicitante_nuevo,apto
36,676,21,4153,39.8,0,bueno,dependiente,norte,1,1,1
42,2168,4,16022,61.8,0,malo,estudiante,metropolitana,1,0,0
43,2666,19,13214,49.7,0,bueno,dependiente,sur,0,1,1
20,2830,21,8702,42.9,1,malo,desempleado,centro,0,1,0
46,2026,25,4752,72.3,1,bueno,estudiante,centro,0,0,0
26,1014,21,4441,40.3,0,regular,estudiante,sur,1,1,1
56,2876,9,5562,9.4,0,malo,dependiente,metropolitana,1,1,1
53,5789,22,11847,28.9,0,bueno,dependiente,metropolitana,0,0,1
65,1134,24,4151,56.0,0,malo,dependiente,centro,1,0,0
56,3759,9,11007,52.9,0,regular,dependiente,metropolitana,1,0,0
37,2071,3,3397,13.7,0,regular,independiente,centro,0,0,1
68,2367,26,7024,30.5,0,bueno,dependiente,centro,0,0,1
39,1442,4,8750,33.4,0,bueno,dependiente,metropolitana,1,0,1
34,2065,17,44873,37.7,0,regular,dependiente,centro,1,0,0
65,4675,7,3090,17.5,0,bueno,dependiente,centro,1,0,1
37,3266,3,22707,32.4,0,bueno,dependiente,centro,0,0,1
21,5803,23,8999,30.4,0,bueno,independiente,centro,0,1,1
42,4397,4,10806,60.4,0,malo,independiente,centro,0,0,0
59,3040,20,8803,61.2,0,bueno,dependiente,sur,0,1,1
27,5837,20,11062,42.1,3,regular,estudiante,centro,0,0,0
42,3040,1,7277,37.2,0,malo,estudiante,centro,0,1,0
24,3692,5,22423,47.8,0,bueno,dependiente,metropolitana,1,1,1
53,2104,23,5887,28.7,2,bueno,independiente,centro,1,1,0
42,2523,15,17900,22.1,1,regular,dependiente,metropolitana,1,0,0
35,1722,3,5161,26.2,2,bueno,dependiente,centro,1,1,0
29,4003,29,7768,32.3,1,regular,dependiente,centro,0,0,1
47,1354,7,3826,21.7,2,regular,dependiente,centro,1,0,0
52,3609,0,11142,48.2,1,regular,estudiante,metropolitana,0,1,0
66,2219,27,22283,59.6,2,bueno,desempleado,norte,1,0,0
40,4384,0,7676,13.3,1,regular,estudiante,metropolitana,1,0,0
26,3553,16,7060,45.5,0,regular,independiente,centro,0,1,1
61,6065,29,3714,40.6,0,bueno,independiente,centro,1,0,1
50,3517,17,6902,51.8,0,regular,desempleado,centro,1,1,1
54,1112,17,2657,44.7,0,malo,dependiente,norte,0,0,0
23,2360,11,4277,15.9,0,regular,dependiente,centro,0,0,1
34,1358,3,9497,19.8,0,bueno,independiente,centro,1,0,1
57,1883,17,20400,45.6,0,bueno,dependiente,centro,0,0,1
61,5196,26,57899,65.6,1,bueno,dependiente,sur,1,0,0
40,3357,2,5374,0.7,1,bueno,dependiente,centro,0,0,1
59,1721,26,22130,51.9,0,bueno,independiente,norte,1,0,1
61,1470,12,9611,68.8,0,malo,dependiente,norte,0,0,0
38,2481,16,7289,41.9,0,bueno,dependiente,centro,0,0,1
64,1328,4,10969,56.0,0,malo,dependiente,centro,1,1,0
32,1745,18,8462,30.9,0,bueno,dependiente,sur,0,1,1
30,2853,5,8754,42.6,0,bueno,estudiante,centro,1,1,1
53,4349,8,6089,12.6,0,bueno,dependiente,metropolitana,0,1,1
51,3309,21,3045,0.0,1,bueno,independiente,centro,0,0,1
25,776,1,2750,63.9,1,regular,independiente,norte,1,0,0
61,2842,13,12801,25.3,4,malo,dependiente,metropolitana,0,1,0
28,2530,17,6676,35.9,0,malo,estudiante,centro,0,0,0
59,3002,3,5339,17.3,0,bueno,independiente,centro,1,1,1
18,5476,8,8151,16.8,1,regular,independiente,metropolitana,1,0,1
59,870,10,14136,41.5,0,bueno,dependiente,metropolitana,1,0,0
58,1816,19,9194,30.4,1,malo,dependiente,sur,1,1,0
58,3280,29,5119,52.6,1,bueno,desempleado,norte,1,1,0
52,1107,25,19118,54.1,0,bueno,independiente,centro,1,1,0
42,5105,5,24476,51.4,1,bueno,desempleado,metropolitana,1,0,1
54,2934,0,11455,49.8,0,bueno,desempleado,metropolitana,0,0,1
32,3727,1,16020,76.6,0,bueno,dependiente,norte,1,1,1
58,1835,17,19329,23.6,0,malo,independiente,centro,0,0,0
46,3666,4,17873,43.9,1,regular,dependiente,centro,1,1,0
41,4164,6,12455,67.7,2,malo,independiente,norte,0,0,0
44,2742,25,12318,70.3,0,bueno,dependiente,sur,1,1,1
47,2744,26,11658,16.6,1,regular,dependiente,centro,1,1,1
19,2794,25,3759,38.8,0,bueno,independiente,centro,1,0,1
25,1585,7,13233,72.2,0,bueno,independiente,norte,1,1,1
30,2267,18,3137,55.2,0,bueno,independiente,centro,0,0,1
23,2261,18,4646,48.9,1,bueno,dependiente,centro,0,0,1
40,2956,5,20181,40.6,1,regular,dependiente,centro,0,1,0
52,4024,16,14591,37.3,1,bueno,desempleado,norte,1,1,1
52,1438,15,22952,50.8,0,bueno,dependiente,metropolitana,1,0,1
42,2293,11,6700,40.0,2,regular,dependiente,norte,0,0,0
62,5119,22,3617,44.1,0,bueno,independiente,centro,0,0,1
47,1683,20,6848,46.6,0,malo,dependiente,centro,0,1,0
22,1618,15,8703,31.4,0,bueno,independiente,norte,1,1,1
57,2700,21,8564,55.6,0,malo,dependiente,centro,0,1,0
47,3723,22,17918,100.0,1,regular,estudiante,norte,1,0,0
51,2455,17,6292,9.5,1,regular,desempleado,norte,1,0,1
47,4743,8,10367,51.5,0,regular,desempleado,centro,0,0,0
46,3746,22,4056,29.8,1,malo,independiente,sur,0,0,0
22,3718,21,11106,56.5,1,regular,dependiente,norte,1,0,1
47,3220,29,8121,45.9,3,bueno,independiente,centro,0,1,0
59,7815,4,4794,60.2,0,bueno,estudiante,centro,1,0,1
33,2203,12,6870,68.5,0,regular,independiente,centro,1,0,1
49,896,27,7123,48.8,0,bueno,independiente,centro,1,1,1
19,5443,15,6707,67.6,0,bueno,independiente,norte,1,1,1
36,1941,28,27999,0.0,0,bueno,independiente,centro,1,1,1
40,2576,0,7563,76.8,0,bueno,independiente,centro,0,0,1
69,4697,1,6831,52.5,0,bueno,dependiente,metropolitana,0,0,1
29,1095,23,1866,66.6,0,regular,dependiente,metropolitana,0,1,1
32,1305,10,4333,20.6,0,regular,independiente,metropolitana,1,1,0
39,1096,15,6740,28.4,0,malo,dependiente,centro,1,0,0
69,1641,12,5014,47.9,1,bueno,estudiante,norte,0,1,0
62,3041,12,21316,44.7,0,bueno,independiente,centro,0,0,1
19,3172,28,7220,50.7,0,regular,dependiente,centro,1,0,1
30,2802,2,19968,66.7,1,bueno,estudiante,norte,0,0,0
60,1204,23,8461,9.7,2,regular,independiente,norte,1,1,0
21,769,26,8317,64.5,2,bueno,independiente,centro,1,0,0
62,2508,19,7615,45.2,0,malo,dependiente,centro,0,1,0
32,1928,11,8125,40.9,2,bueno,estudiante,centro,0,0,0
65,3071,4,26988,15.6,0,malo,dependiente,sur,0,0,0
33,3467,20,1598,55.1,1,regular,independiente,centro,1,1,0
40,2615,14,1996,0.0,1,bueno,dependiente,metropolitana,0,1,1
52,3569,4,5540,58.0,2,regular,independiente,centro,0,0,0
24,2737,10,8186,15.2,1,bueno,independiente,centro,1,0,1
46,3181,28,13135,46.1,2,regular,independiente,centro,0,0,0
44,1716,7,11284,42.6,1,regular,dependiente,centro,1,0,0
58,2231,5,6192,68.4,2,bueno,estudiante,centro,0,0,0
69,2693,20,16537,41.4,0,bueno,independiente,centro,0,1,1
52,3679,5,16666,31.1,0,regular,dependiente,sur,0,0,0
39,2004,27,9217,34.9,1,bueno,desempleado,centro,0,1,0
39,3167,25,15897,70.5,0,malo,independiente,centro,0,1,0
39,2137,29,9807,55.7,2,regular,desempleado,metropolitana,1,1,0
60,2301,27,5470,37.3,0,regular,desempleado,norte,0,1,1
34,3695,7,13207,40.3,2,bueno,desempleado,centro,1,1,0
26,901,6,8755,13.7,0,regular,independiente,centro,1,0,1
35,1276,10,8111,52.8,0,malo,independiente,centro,1,0,0
19,1163,14,22722,9.8,0,bueno,dependiente,centro,1,1,0
23,760,26,1457,60.0,1,bueno,dependiente,norte,0,0,0
22,1739,22,3004,47.6,0,bueno,independiente,sur,0,1,1
58,3550,19,3530,92.7,2,bueno,dependiente,centro,1,1,0
55,2117,26,6284,23.0,0,regular,estudiante,centro,1,1,1
54,2694,19,6780,42.9,0,bueno,dependiente,centro,0,0,1
42,4207,11,2821,81.0,0,regular,dependiente,metropolitana,1,0,1
55,4740,12,4066,68.8,0,bueno,dependiente,metropolitana,1,0,1
26,2358,15,4436,31.1,0,bueno,dependiente,metropolitana,1,0,1
64,4802,2,45261,49.5,0,bueno,dependiente,sur,0,0,0
44,2556,22,28602,45.0,1,malo,dependiente,sur,0,0,0
66,1606,19,6074,50.6,1,regular,estudiante,centro,0,0,0
25,1813,21,6282,31.0,0,bueno,dependiente,metropolitana,0,1,1
43,1164,16,3625,43.2,0,regular,dependiente,centro,0,1,1
54,1565,23,2131,13.0,0,bueno,dependiente,centro,0,1,1
43,2041,28,7467,47.7,0,bueno,dependiente,sur,0,0,1
41,3647,17,4030,54.0,0,bueno,dependiente,centro,0,0,1
26,5770,13,7636,40.5,1,malo,independiente,norte,0,1,0
37,1223,3,2643,12.7,1,regular,independiente,centro,0,0,0
30,2970,23,4753,64.8,0,regular,dependiente,centro,0,0,1
33,1451,27,8992,52.3,0,bueno,independiente,metropolitana,1,1,1
53,3094,20,10471,30.5,0,bueno,dependiente,centro,1,1,1
50,2286,25,10853,39.4,0,regular,dependiente,metropolitana,1,1,1
49,977,25,3215,15.0,1,bueno,estudiante,centro,1,0,1
36,3882,23,14739,24.5,0,malo,dependiente,metropolitana,0,0,0
67,1804,15,4628,34.2,1,regular,estudiante,norte,1,0,0
22,1869,2,12620,69.6,1,bueno,dependiente,metropolitana,0,1,0
35,1430,0,8043,32.2,1,regular,dependiente,centro,1,0,0
24,1760,6,3092,57.8,0,malo,dependiente,centro,0,0,0
35,3023,12,6494,34.2,2,bueno,dependiente,centro,0,0,1
68,2220,22,10465,50.0,1,regular,desempleado,centro,0,0,1
37,2877,13,12445,42.2,0,malo,dependiente,centro,0,0,0
65,2925,0,7342,62.5,0,bueno,estudiante,sur,1,1,1
43,4724,6,23677,34.3,1,malo,estudiante,metropolitana,1,1,0
54,2056,29,16404,13.5,1,bueno,independiente,sur,0,1,1
41,1166,29,6771,17.4,2,regular,dependiente,centro,0,0,0
31,4161,11,13699,34.4,0,regular,dependiente,centro,1,1,1
57,2068,24,31372,20.0,0,regular,dependiente,metropolitana,1,1,0
68,4261,21,31963,53.2,1,bueno,independiente,metropolitana,1,0,0
31,2956,27,3430,35.7,0,regular,dependiente,centro,1,1,1
58,2286,26,4236,92.5,0,bueno,desempleado,metropolitana,1,0,1
31,2906,18,22913,10.2,1,bueno,independiente,centro,1,1,0
55,6474,11,3863,49.1,0,bueno,dependiente,metropolitana,1,0,1
59,6895,18,3211,22.4,1,regular,independiente,metropolitana,0,0,1
41,2527,9,5766,35.1,1,bueno,dependiente,sur,1,0,1
56,2644,10,10874,47.8,0,bueno,desempleado,centro,0,1,1
32,4180,18,7543,0.0,2,malo,dependiente,centro,0,0,0
22,1599,17,5139,49.7,0,bueno,desempleado,norte,1,1,1
23,2883,17,5055,83.1,0,bueno,estudiante,metropolitana,0,0,1
41,2409,11,4921,35.9,0,bueno,estudiante,centro,1,1,1
64,2855,12,4378,50.2,0,bueno,dependiente,sur,1,0,1
24,1609,0,40020,65.5,0,regular,estudiante,metropolitana,0,0,0
41,1102,18,9979,41.7,0,bueno,dependiente,centro,0,0,1
54,866,17,15074,33.4,0,bueno,independiente,centro,1,0,1
28,1396,28,5754,0.0,0,malo,dependiente,sur,1,0,0
55,1940,15,7114,57.8,0,malo,dependiente,centro,1,0,1
33,2108,14,4917,42.7,0,regular,dependiente,centro,0,1,1
60,6429,2,1266,24.7,1,malo,dependiente,norte,1,0,1
48,4243,5,3088,47.5,0,malo,dependiente,centro,0,0,0
46,1509,10,2281,33.3,2,bueno,estudiante,sur,0,0,0
27,2904,11,1678,34.4,0,regular,dependiente,centro,0,1,1
42,1991,10,3510,57.1,0,regular,independiente,centro,0,0,0
62,2117,11,20485,18.2,0,bueno,dependiente,centro,1,1,1
19,2678,23,7855,65.9,2,bueno,independiente,centro,1,0,0
57,3326,3,19998,17.0,1,bueno,independiente,centro,0,1,0
43,2060,9,10804,31.7,1,regular,dependiente,sur,1,0,0
55,4154,4,14014,83.5,0,regular,independiente,centro,0,0,1
52,1379,9,4313,67.5,0,regular,desempleado,centro,1,1,0
40,2448,20,11693,47.0,2,bueno,estudiante,metropolitana,0,0,0
34,8945,1,13495,26.2,0,bueno,dependiente,centro,0,0,1
50,2729,10,5412,34.4,0,bueno,dependiente,sur,1,1,1
25,4997,0,11988,46.5,1,bueno,independiente,norte,1,0,1
48,2555,28,12044,45.8,2,malo,dependiente,centro,1,1,0
22,3263,21,5515,43.2,1,malo,estudiante,norte,1,0,0
51,2372,7,3693,44.4,1,malo,dependiente,metropolitana,0,0,0
50,2241,5,3537,40.7,0,malo,estudiante,metropolitana,0,0,0
22,1653,2,8609,16.2,3,malo,dependiente,centro,1,0,0
57,3026,14,10187,34.7,0,bueno,dependiente,centro,1,0,1
39,1594,22,4653,63.3,0,bueno,desempleado,centro,0,1,1
58,3404,17,8255,17.6,0,bueno,estudiante,centro,0,1,1
20,4199,26,12081,41.2,0,bueno,estudiante,sur,1,0,1
27,2931,10,12491,28.6,0,bueno,desempleado,sur,0,1,1
43,2115,8,24012,47.2,0,bueno,dependiente,metropolitana,0,1,0
27,3062,14,19809,37.2,1,malo,dependiente,centro,1,1,0
35,2092,6,4020,74.5,0,bueno,dependiente,sur,0,0,1
52,3896,29,26331,55.1,1,malo,dependiente,centro,0,1,0
25,977,5,5588,18.8,2,regular,dependiente,centro,1,0,0
53,2064,14,16838,58.4,1,regular,desempleado,metropolitana,0,1,0
23,902,15,8498,29.5,2,regular,dependiente,norte,1,1,0
27,1156,1,6072,33.5,1,bueno,dependiente,sur,1,0,0
48,4827,14,2286,51.3,2,regular,dependiente,sur,0,0,0
59,3818,13,7186,35.2,1,bueno,dependiente,metropolitana,1,0,0
26,1703,7,2720,62.9,2,malo,dependiente,centro,1,1,0
33,1151,3,15948,29.5,0,bueno,independiente,centro,0,1,0
66,554,1,23430,32.6,0,bueno,dependiente,metropolitana,1,0,0
69,1860,0,4639,31.9,0,regular,independiente,metropolitana,0,0,1
48,8186,14,10010,33.7,1,regular,estudiante,centro,0,0,1
41,3033,2,4877,67.0,0,bueno,independiente,metropolitana,1,0,1
36,1845,28,5219,57.6,1,regular,independiente,centro,1,1,1
49,3080,7,13935,79.2,1,bueno,dependiente,centro,1,0,0
48,1118,19,7887,90.4,1,regular,dependiente,metropolitana,1,0,0
33,2103,20,27385,24.4,1,bueno,dependiente,centro,1,1,0
19,2565,14,5782,46.4,1,bueno,desempleado,centro,0,0,1
25,2338,26,16310,21.5,0,bueno,independiente,metropolitana,0,1,1
67,3624,3,8675,29.4,0,bueno,dependiente,metropolitana,1,1,1
39,2900,7,14144,32.4,2,bueno,dependiente,metropolitana,1,0,0
43,3409,7,5925,23.9,1,bueno,estudiante,centro,0,1,0
42,1730,4,7827,24.0,2,bueno,independiente,metropolitana,0,1,0
58,3823,8,7474,42.1,1,bueno,independiente,centro,1,1,1
21,5511,9,4513,20.7,0,bueno,estudiante,centro,0,0,1
22,1503,22,12880,61.8,2,bueno,independiente,centro,0,0,0
32,1566,9,12774,26.6,0,regular,independiente,metropolitana,1,0,1
43,4759,26,12277,100.0,0,malo,dependiente,metropolitana,0,0,0
52,2218,23,23763,36.0,0,bueno,dependiente,sur,1,0,0
43,4924,27,22349,46.4,0,malo,desempleado,sur,1,1,1
40,1956,3,6233,19.1,0,bueno,independiente,centro,1,1,1
66,5052,29,10521,79.1,1,bueno,dependiente,centro,1,0,1
26,2606,18,5237,67.4,0,regular,independiente,centro,1,0,1
47,2777,29,8237,50.9,0,regular,dependiente,norte,1,0,1
46,5337,10,5325,18.1,0,malo,estudiante,centro,0,0,1
42,2037,28,25186,49.2,1,bueno,dependiente,metropolitana,1,1,0
59,1525,17,10452,22.6,2,regular,estudiante,sur,1,0,0
31,1950,2,6956,74.2,2,bueno,dependiente,metropolitana,0,0,0
67,3060,12,18686,61.2,0,bueno,dependiente,centro,0,1,0
35,1116,4,1773,46.9,2,bueno,dependiente,centro,0,0,0
46,3357,28,1979,0.0,1,malo,estudiante,norte,0,0,0
45,1864,9,14145,25.3,1,bueno,dependiente,centro,0,0,0
62,4333,6,8453,58.8,0,malo,dependiente,centro,1,1,0
40,737,16,9656,69.3,2,regular,independiente,centro,0,0,0
32,1647,12,3202,67.2,0,regular,dependiente,norte,0,1,1
19,1050,2,7972,13.2,0,regular,dependiente,sur,0,1,0
36,1615,24,32940,51.0,2,malo,dependiente,centro,0,0,0
60,2762,25,14428,65.3,1,bueno,estudiante,centro,1,1,1
18,2231,22,9125,11.8,0,bueno,dependiente,centro,0,1,1
64,2150,18,5959,44.8,0,regular,dependiente,centro,1,0,1
46,2254,12,6147,50.5,0,bueno,dependiente,centro,0,1,1
25,2702,16,1825,39.0,0,bueno,dependiente,centro,0,0,1
33,1474,15,9705,8.0,1,bueno,dependiente,centro,1,0,1
46,3475,4,14645,38.5,0,bueno,dependiente,norte,0,1,1
34,3399,2,2689,38.5,0,bueno,dependiente,metropolitana,1,0,1
23,2959,7,5100,42.0,0,bueno,dependiente,norte,1,0,1
52,3224,13,3604,33.7,0,malo,estudiante,centro,1,0,1
52,2831,4,4123,36.1,1,bueno,dependiente,centro,0,0,0
24,6752,3,8412,44.2,2,malo,dependiente,centro,0,1,0
32,2337,25,1884,53.8,3,malo,desempleado,centro,0,1,0
30,2093,11,12456,38.9,1,bueno,estudiante,metropolitana,0,0,0
52,1674,17,13735,36.8,1,regular,independiente,centro,0,1,0
55,1457,15,6797,46.8,2,regular,dependiente,sur,1,0,0
55,1310,22,1427,6.6,0,regular,dependiente,centro,0,0,1
66,1565,22,4034,54.5,0,bueno,dependiente,norte,1,1,1
57,2356,8,19207,45.0,0,bueno,dependiente,centro,0,1,1
34,2885,25,1159,45.8,0,bueno,dependiente,centro,0,0,1
23,2504,11,6353,64.2,0,regular,independiente,centro,1,0,1
49,1664,25,3548,5.9,0,malo,dependiente,metropolitana,0,1,1
65,3828,12,14231,5.5,0,regular,independiente,sur,0,1,1
68,3532,3,5051,50.5,0,regular,dependiente,metropolitana,1,0,1
29,2253,22,10751,44.9,0,malo,dependiente,centro,1,1,0
30,1761,0,12038,48.4,1,regular,independiente,metropolitana,1,1,0
19,3211,23,29300,35.8,0,bueno,estudiante,centro,1,1,1
25,2681,1,7030,58.3,0,malo,dependiente,sur,1,0,0
46,1183,6,10543,63.7,0,bueno,independiente,metropolitana,1,1,1
46,2359,18,2865,54.7,0,bueno,dependiente,sur,1,1,1
37,2782,28,18644,39.8,2,bueno,dependiente,metropolitana,0,1,0
34,1556,12,4758,2.8,1,malo,independiente,sur,1,0,0
61,2684,3,5472,60.4,0,bueno,dependiente,norte,0,0,1
41,1179,6,7978,69.4,0,bueno,dependiente,sur,0,1,0
60,4760,26,2713,57.9,0,bueno,dependiente,centro,0,0,1
68,4555,21,9510,27.4,1,bueno,dependiente,metropolitana,1,1,0
34,2151,3,15950,58.5,1,bueno,dependiente,metropolitana,0,1,0
28,2927,11,9947,62.2,1,regular,dependiente,norte,1,0,0
67,731,7,2665,76.2,0,malo,desempleado,norte,0,1,0
51,1369,5,7430,27.5,0,bueno,independiente,norte,1,1,1
33,2107,25,13622,40.5,2,bueno,dependiente,centro,1,0,0
50,1428,18,2176,59.9,1,bueno,dependiente,norte,1,1,1
44,3488,5,3819,46.1,1,bueno,independiente,sur,0,1,0
65,6625,19,14967,22.7,1,regular,dependiente,centro,1,0,1
31,1355,12,9790,53.3,1,regular,dependiente,metropolitana,0,1,0
69,1606,1,10812,56.6,1,regular,independiente,centro,1,0,0
66,2746,13,29782,46.8,1,bueno,dependiente,centro,0,0,0
27,5462,5,11248,49.4,0,regular,dependiente,norte,1,1,1
26,1325,7,12843,39.8,0,bueno,dependiente,metropolitana,1,0,1
45,2764,26,54042,74.6,0,bueno,dependiente,centro,1,0,0
20,6067,21,6977,27.0,0,malo,dependiente,norte,1,0,1
33,1069,4,4635,33.3,0,regular,estudiante,centro,0,1,0
40,1286,25,10932,45.2,0,malo,dependiente,metropolitana,1,0,0
68,1975,17,11018,62.6,0,malo,independiente,norte,0,1,0
69,1881,26,5604,15.1,2,regular,independiente,sur,1,0,0
25,3664,22,3934,18.8,0,malo,dependiente,sur,0,0,1
64,2754,10,40819,4.2,0,bueno,dependiente,metropolitana,1,0,0
22,1005,16,10186,45.7,1,bueno,dependiente,centro,1,0,0
56,3158,15,4853,22.6,0,bueno,independiente,norte,1,0,1
61,1828,21,15385,37.3,2,bueno,dependiente,centro,1,1,0
64,4616,7,7507,58.2,1,bueno,independiente,centro,0,0,1
29,1783,9,6788,32.2,1,bueno,estudiante,sur,1,1,0
64,1775,7,12011,49.6,0,regular,independiente,centro,1,1,0
24,3199,8,3280,39.0,1,regular,desempleado,centro,1,1,1
44,3574,4,10372,58.4,1,regular,independiente,norte,1,0,0
42,3054,1,30917,54.5,2,bueno,estudiante,centro,1,1,0
34,1051,28,11230,31.2,1,regular,estudiante,centro,0,1,1
19,3194,2,6227,41.6,0,bueno,independiente,sur,1,1,1
58,1455,26,5682,65.9,0,bueno,estudiante,norte,1,1,1
35,2745,0,6080,52.9,4,bueno,desempleado,metropolitana,1,0,0
52,1198,23,6783,17.1,0,bueno,dependiente,sur,0,1,1
39,3051,9,6220,58.1,1,bueno,independiente,centro,1,0,1
37,1631,15,15389,23.3,0,malo,dependiente,norte,1,1,0
64,1285,8,2408,73.3,1,regular,estudiante,centro,0,1,0
22,3487,14,14815,65.5,0,regular,dependiente,centro,0,1,0
56,2754,13,6212,50.8,0,bueno,estudiante,centro,0,0,1
56,1795,15,10550,48.1,0,malo,independiente,metropolitana,1,0,0
37,5042,11,3682,40.8,0,regular,desempleado,sur,0,1,1
31,1958,16,20538,58.6,2,bueno,dependiente,centro,1,1,0
18,2480,24,19379,37.6,0,regular,independiente,centro,1,0,1
66,2792,13,15863,49.7,0,bueno,independiente,centro,0,0,1
67,1790,10,2806,62.4,0,bueno,desempleado,metropolitana,0,0,1
30,3089,3,14478,33.8,1,bueno,desempleado,norte,0,1,0
19,1869,10,10758,32.7,1,bueno,independiente,sur,1,0,1
24,1987,3,2634,21.1,1,bueno,independiente,metropolitana,0,0,1
21,4824,5,7966,23.7,0,bueno,dependiente,norte,0,1,1
61,1451,28,10459,8.4,2,bueno,desempleado,centro,0,0,0
64,730,2,11959,59.6,3,malo,dependiente,centro,0,1,0
25,5461,14,9174,81.2,2,bueno,independiente,metropolitana,1,0,1
56,8731,25,9935,73.5,1,bueno,independiente,centro,1,1,1
27,1993,28,22732,12.5,1,bueno,dependiente,sur,0,1,0
37,927,4,19115,59.5,0,malo,dependiente,metropolitana,0,1,0
49,2090,4,1089,73.4,1,regular,dependiente,metropolitana,0,0,0
55,2115,11,6489,35.9,0,malo,estudiante,centro,1,0,0
63,2220,16,7221,47.0,0,bueno,dependiente,centro,0,0,1
20,1399,28,2377,4.8,0,bueno,dependiente,sur,1,1,1
28,3261,6,8655,50.3,2,regular,independiente,centro,1,0,0
32,3172,4,19421,23.7,1,bueno,dependiente,metropolitana,0,0,0
34,1156,7,3787,49.0,1,malo,estudiante,norte,0,0,0
69,3462,26,10255,13.8,0,malo,dependiente,centro,0,1,0
58,6811,0,4268,55.9,0,bueno,dependiente,metropolitana,1,1,1
34,2660,11,5063,65.5,1,malo,dependiente,centro,0,1,0
68,2062,3,22792,29.3,0,regular,dependiente,norte,0,1,0
43,2273,4,5543,22.3,2,bueno,dependiente,centro,0,1,0
44,3320,27,11199,1.9,2,bueno,independiente,centro,0,0,0
40,1027,0,2187,39.7,1,bueno,dependiente,metropolitana,0,0,0
